text,label
@JohnCornyn @txlegion @TexasBoysState Did you tell them How you voted to repeal sanctions against Oleg Deripaska and Rusal? https://t.co/BODxwbfvww Cant wait to Vote you out! @mjhegar #TraitorTrump #TrumpRussia #ReadTheMuellerReport #TrumpIsATraitor #TrumpCriminalInvestigations #TrumpConcentrationCamps,offensive
"Have to say, a great benefit to having a known pathological liar as president is when he tries to start a war, no one believes him #TrumpIsATraitor",offensive
Following OJ Simpson would be entertaining but I dont need to follow a murderer sociopath when people like his tweets and he's automatically on my TL. He is crazy! Just saw him rambling about Kloe K. Damn why isn't he locked up😞 #murderer,offensive
"Boris isn't even PM yet but he is already destroying trade with the EU and enriching his friends - We know what type of Boris we will get - Inept, indolent and offensive - a UK Trump without ANY of the economic firepower Nutter!  #BorisJohnsonShouldNotBePM #BorisJohnson https://t.co/VxyettyYXQ",offensive
"@GOP @realDonaldTrump He’s also lied, cheated, committed crimes against America, broken emoluments laws, nepotism, spread his corruption, conspired with Russia, and banked millions of our tax dollars while you dumbf**ks cheer    -You have become his accomplices   #TrumpIsAFraud #TrumpIsATraitor",offensive
"@realDonaldTrump Since @realDonaldTrump is the BIGGEST deadbeat fraud, what he calls a fraud is what the rest of humanity not kiSsing his rectum calls #TheTRUTH. And we ALL know Trump CAN'T HANDLE THE TRUTH! #FuckTrump #ComradeTrump #PutinsPuppet #CadetBoneSpurs #MakingAmericaGarbageAgain #MAGA",offensive
@tonyposnanski @PressSec @realDonaldTrump So well said. I totally agree with every word.  The White House is full of corrupt habitual liars.  #FuckTrump and his pathetic puppets.,offensive
@_Mansoor_Ali Such a hypocrite and liar you are Mr. Selected PM @ImranKhanPTI.  Why don't you accept you failed miserably in past 10 months? Stop crying about past. Show progress or go home. You could not achieve any of your 2018-2019 set goals.  #imranhataomulkbachao,offensive
AMERICA NEEDS A NEW PRESIDENT ASAP. TRUMP IS A TRAITOR. WILL ONLY GET WORSE! @realdonaldtrump go off and die like an old diseased riddled dog you ARE YOU ABSOLUTE POS #ImpeachTrumpNow #trumpisatraitor #trumpisadisgrace,offensive
"@senatemajldr WE HAVE BEEN WAITING FOR @realDonaldTrump IMPEACHMENT.   YOU'RE A TRAITOR,  TOO.    #FUCKTRUMP #AMERICANSFORIMPEACHMENT https://t.co/FDs4U53nTj",offensive
Just a daily reminder to @realDonaldTrump  that he is a National Disgrace.     #TraitorTrump   #TrumpIsADisgrace   #TrumpIsATraitor https://t.co/O09IV9NZGf,offensive
"@UxbEconomist07 @GuidoFawkes @BorisJohnson @Conservatives Remain know he’s bad, he couldn’t win an election, he’s atrocious. Remain Tories trying to hang on to their dwindling influence. #borisorbust #BorisJohnsonShouldNotBePM #borisjohnson #boris",offensive
@realDonaldTrump She a LIAR JUST LIKE U. U GOING DOWN SHE LEAVING U BE 4 IT HAPPENS #DICKHEAD,offensive
"Why is #fakeDonaldTrump still in a feud with the Mayor of London?  Seriously.  #idiotTrump is SUCH a petty, disgusting, failure of a human being that he seems to be incapable of letting ANYTHING go.  #dumbassTrump #ImpeachTrumpNow",offensive
This proves that @ImranKhanPTI is the biggest hacker of #TerroristNationPakistan https://t.co/315WkNP1iH,offensive
@IvankaTrump @realDonaldTrump That was the worst day of our lives. The coward has been ruining America ever since.  #TrumpIsTheEnemyOfThePeople   #TrumpIsAFraud   #TrumpIsATraitor   #TrumpIsAMoron   #TrumpIsANationalSecurityThreat   #TrumpIsACriminal   #TrumpIsNotAboveTheLaw,offensive
"#WPMOTClassic Some things never change! Repost profthuggy What’s Pissing Me Off Today? Shittiest Person in the World, Jr. #donaldtrumpjr #donnietrump #fucktrump #trophyhunter #trophyhunting #cobrakai… https://t.co/k13HlVBqKO",offensive
Rallies will be held across #US tomorrow for #impeachment of @realdonaldtrump. Check local #grassroots for details. Prove that we do not tolerate the hatred that has crippled this country #impeachtrump #impeach45 #fucktrump #notmypresident #collusion #traitor #criminal https://t.co/DrGE3ilc6C,offensive
"@nycsouthpaw @gtconway3d This is a standard process for all dictators to remove the free press from society. No doubt @realDonaldTrump got this from the only book he has read, 'Mein Kampf'.  #TrumpIsATraitor   #TrumpIsTheEnemyOfThePeople   #TrumpIsACriminal",offensive
#TraitorTrump just flat out admitted he’s a #RussianAsset  https://t.co/e8Uf4zVTs4  #TrumpIsATraitor,offensive
@MamataOfficial is really lost her mind n plot completely.. She has cross psychic levels to satisfy the minority as what she feels can keep her in power but sadly not.. 😏😏    #DoctorsFightBack  #BengalBurning  #SaveBengalFromTMC    @ZeeNews  @sudhirchaudhary  @sardanarohit  @republic https://t.co/KmhtnRnYAz,offensive
"He said it again, No Collusion, No obstruction. What innocent person would do that? He's guilty as sin. I'm sick over nobody doing anything about having a TRAITOR in our White House  #fucktrump https://t.co/kMHnbkirZj",offensive
"From a known liar and #FakeNewsCNN contributor. Great work Slimewell, great work! #DoucheBag #EnemyOfThePeople https://t.co/3poAWACg4n",offensive
@RepAndyHarrisMD @POTUS Let’s not forget ...    Today is #JohnMCainDay which is infinitely more celebratory than the birthday of a pathological lying corrupt criminal traitor.    #TrumpIsATraitor   #TrumpIsACriminal   #TrumpIsAMoron   #TrumpIsANationalSecurityThreat,offensive
Imagine wishing a traitor bigot a happy Birthday....guess inbred trailer Trash needs a hobby too!!!🤔😡🖕🖕🖕🖕🖕🖕🖕 #TrumpIsATraitor https://t.co/p3Fgr0trZ8,offensive
"This is very dangerous !  Can we finally lock him up for sedition now? At the very best, for not protecting the constitution of the United States. At the worst, he is a traitorous Russian agent.  #DumpTrump  #ScumOfTheEarth   #TraitorousRussia  #TrumpIsATraitor  https://t.co/PdgKEHqoh0",offensive
The #Hypocrisy of @BorisJohnson in its full glory!  The man is a fraud #Brexit is his con.   #Boris   #BorisJohnsonShouldNotBePM  #ToryLeadershipContest   #ToryLeadershipDebate https://t.co/B9xrkE2J24,offensive
"@realDonaldTrump Dude ... you’ve all but admitted your crimes.  Give it a rest - we all know you’re guilty, inept, uneducated and crapping all over the Constitution.  #TrumpIsATraitor  #russiaownstrump #CorruptGOP",offensive
@realDonaldTrump Try all you want to Fat Donny. You are the WORST president in the history of our great nation. You will FOREVER be known as America’s Russian Manchurian president. #TrumpForPrison #TrumpIsATraitor,offensive
@TheRealOJ32 Coming soon to what? Confess your guilt? To kill again? To pay your civil debit? To rob again? To pretend you are still loved? You are a murderer. You will always be remembered as the man who got away with murder. No more juice.  #NicoleBrownSimpson   #RonGoldman   #murderer,offensive
"@paulwaugh @BorisJohnson #borisjohnson shows he is a coward and can't debate in a live format because of all the lies, broken promises he's made like the changing wind.  #IfnotgetagripmanupandgetoutthereandtellusotherwiseitsallBallsandNOTtobetrusted  #BorisJohnsonShouldNotBePM",offensive
"@realDonaldTrump   #realdonaldtrump #fucktrump #trump2020  GETTIN READY TO WATCH FOX N FRIENDS WITH MY IDIOT BUDDY, DOG VOMIT TRUMP https://t.co/BAGmLwBQzF",offensive
#Trump just confessed to being a traitor -   #TrumpIsATraitor  https://t.co/EkGv0T02fN,offensive
@benmaller And people switching to the day shift will live longer. #fact. @benmaller is trying to shorten people's lives. He is a killer. #murderer,offensive
@johnpavlovitz @realDonaldTrump Perhaps you prefer the #rapist #BillClinton or the #murderer #HillaryClinton ?,offensive
Saw this earlier. I'd just like to confirm to the world that Brock Turner (#BrockTurner) is indeed still a rapist (#rapist) https://t.co/4tMujZ6oMn,offensive
"This clown 😂😂 ⬇    He's got nothing, he's so full of shit!    #FuckTrump https://t.co/nFZSD2UGSB",offensive
"Here's the truth about Boris Johnson and his history of sexism, racism, lies, homophobia, gaffes and scandals (all material fully sourced)  #Boris #BorisJohnson #BorisForPM #Boris4PM #BorisJohnsonShouldNotBePM   https://t.co/Re17a7VmYY",offensive
@realDonaldTrump This is the report that your own people have not briefed you on because they don't trust you where Russia is involved. Your own insider's know you are compromised by russia.  #TrumpIsADisgrace   #TrumpIsATraitor   #RussianAsset  #PutinPuppet,offensive
"Oh, Dr Disrespect. Yet another ‘influencer’ that thinks fame means rules don’t apply to them. I hope Twitch bans him for life and not just a suspension.    #twitch #DrDisrespect #dickhead",offensive
@realDonaldTrump WRONG Stop with the lies you sick evil  #DEMENTED   #LyingTrump   #PutinsPuppet   #TRUMPcriminalIMPEACHMENT   #TrumpCrimeFamily   #locktrumpup   Just resign you will never lie you way out of this.   #TrumpIsATraitor,offensive
@realDonaldTrump Of course you hate MSNBC because they tell the truth and the truth is that you are an incompetent buffoon without a shred of decency.  You are a complete and absolute disaster.  #IdiotTrump,offensive
@toughgal66 @MrsRabbitResist I am following you now- hoping to catch you swearing- lol-I swear a lot also #FUCKTRUMP!,offensive
@realDonaldTrump is corrupt and incompetent. He aligns himself with murderous dictators and trusts them over our own dedicated and hardworking intelligence officers. We must unite to remove him with a landslide election. He is a #disgrace #TrumpIsATraitor https://t.co/SX8XovljZo,offensive
Put a stick in this man's hand. Whether it be drum or pool or match or etc. He will murder something with it. #murderer #killer #maxthunder #angelicdesolation #pool #playingpool #poolhustler #thatboysgotthedevilinhim… https://t.co/LYJzsLlMTx,offensive
Retweet if you think #DerangedDonnie @realDonaldTrump should stop blocking the design of the new $20 bill. (image via @nytimes).  Trump proves he is a racist and a bigot.  #TrumpTantrum #TrumpMustResign #TrumpIsATraitor https://t.co/vs8mCT278P,offensive
"Wayyy past time for #DonTheCon to face #ImpeachmentHearingsNow.  #TrumpIsAWannabeDictator, #TrumpIsATraitor, #TrumpIsACriminal, #TrumpIsAFraud, &amp; #TrumpObstructedJustice.  What more do Dems need to #LockHimUp? https://t.co/bpB0xfQDaN",offensive
@GOP @realDonaldTrump is a #traitor to #America!   #FuckTrump #TrumpMustResign #TrumpMustBeLockedUp #AmericansForImpeachment #TrumpIsATraitor #Treason https://t.co/kbaW8VjwKN,offensive
"@nielslesniewski If you were his children, would you want to spend the day with him?  NOT.  #TrumpIsADisgrace   #TrumpIsAFraud   #TrumpIsAMoron   #TrumpIsATraitor   #TrumpIsCrazy",offensive
"#LoserTrump is firing his own pollsters, which show him running behind across the board. That, while he invites foreign powers to interfere with the #2020Election.  #TrumpIsATraitor  #TrumpIsTheEnemyOfThePeople  #TrumpIsANationalSecurityThreat    https://t.co/V6yvi9quHt",offensive
"#trump is the most narcissistic man alive, his purposeful ignorance is stunning #impeach #trumpisatraitor",offensive
"He @realDonaldTrump is a #Knobhead. This is all DISTRACTION to make his #TinyMushroom seem bigger from all his UNFITNESS of being @POTUS, 'fool' stop.   #ImpeachTrump   #ImpeachmentInquiryNow   #DerangedDonald   #Moron  #IdiotInChief   #Brokahontas  #BillionDollarLoser   #DickHead https://t.co/z3w5t1cCD2",offensive
@thehill He's stupid and unethical. What a combo. #DerangedDonald #TrumpisaCriminal #TrumpisaTraitor #TrumpHatesAmerica,offensive
#FuckTrump And retired porn star Melania too. https://t.co/1vU0gtQ0RA,offensive
"#SarahSanders leaving her post as the worst lying Press Secretary of the United States of #America, under a men who is unfit to lead anything. Sarah you are disgraceful, #badChristian and #godlessWomen. Why would you support such a #douchebag, grabbed them by #pussyTrump. BBW",offensive
Such a hypocrite and liar you are Mr. Selected PM @ImranKhanPTI.  Why don't you accept you failed miserably in past 10 months? Stop crying about past. Show progress or go home. You could not achieve any of your 2018-2019 set goals.  #imranhataomulkbachao https://t.co/Ix11t9ggP2,offensive
@MrsGandhi @priyankagandhi Vinash kaale vipreet budhhi  The sister is just as half minded as his brother. #congressmuktbharat,offensive
#DoctorsFightBack @MamataOfficial didi is a worst politicians ever arrogant lady @Avinash_Hodar,offensive
"@DWPippy @TomthunkitsMind #Creep, #pedophile, #goon #rapist! Trial time https://t.co/bkb6WmOZtU",offensive
@keithboykin @IlhanMN And you like #warmongers   #Hezbollah #rapist #murderers   What's your point #townclowns #democrats #lie #lies #vaguetruths,offensive
"Adam Silver is into hardcore BDSM. Still figuring out what role he plays, he’s absolutely cringe-tastic. He also has bodies buried in his backyard, 6+ I’m thinking #murderer",offensive
"There is gonna be #NoBirthdayForTrump ever.    Hell, #TraitorTot @realDonaldTrump deserves no praise of any sort since he's a fraud and a FAILURE.    #TrumpIsADisgrace #TrumpsWorseThanNixon #TRUMPSUNFIT #TrumpsAnInternationalDisgrace #TrumpIsATraitor #TrumpIsAFraud #TrumpIsAMoron https://t.co/G7g3NzA7xs",offensive
"@DominicRaab @jeremycorbyn's political judgement has proven to be spot on over the course of decades. You on the other hand are a proven liar, probably racist to your core, whose moral compass has allowed the deaths of over 130,000 UK citizens. #murderer https://t.co/USVA6Bzfbd",offensive
"Idiot Trump gets harpooned for ‘Prince of Whales’ spelling error  #TrumpStupid   Its Prince of Wales, you baffoon  #TrumpIsANationalDisgrace  #TrumpIsNotAboveTheLaw #TrumpIsATraitor #TRUMPISALIAR #NoMoreTrumpism  #Obstruction  #VoteBlue    @demcrats https://t.co/646Hwu5Dxg",offensive
"Your momma should've swallowed...  Trump, the poster child for retroactive abortions.  #FuckTrump https://t.co/45LIxynYKn",offensive
@realDonaldTrump is just a greasy piece of shit. The world is darker with him in it.     #Iran #TrumpIsATraitor #TrumpMustResign #TrumpsAnInternationalDisgrace #TrumpResign #TrumpTantrum #jailtrump #IndictTrump #ImpeachTrumpNow #ImpeachDonaldTrumpNOW #ImpeachTrump https://t.co/9RH8JL8g75,offensive
@KamalaHarris #WillieBrownsCumDumpster   #HorizontalHarris   #HeelsUpHarris     What about the fathers who can’t be with their children because they were ripped from the womb?    @KamalaHarris = #murderer  @KamalaHarris = #Disgrace to humanity,offensive
"#CongGandiNaaliInsult #GandiNaaliAbuse May be that guy, doesn't know Hindi, most thought, they heard him say GandHi Naali !",offensive
Going to war. Hey these other countries pd traitor Trump and kush. Now they are making it happen. Right from the start ,offensive
"@realDonaldTrump @MarshaBlackburn Another racist Southern Senator,  @MarshaBlackburn , gets down on her knees to kiss your traitorist butt. This isn't news. It's been happening for over two years. All of them will have to answer to the American people. #MAGA #TrumpIsATraitor https://t.co/dfXVBYOwUo",offensive
"@adamcbest On this #JohnMcCainDay,  #NeverForget that   @realDonaldTrump is the  worst traitor in American  history. #TrumpIsATraitor    You're not crazy, it's just  #YouNeedToCalmDown.",offensive
"@realDonaldTrump Can not be presidential harassment  when you are the so-called 'president'. Try again, traitor.     #FUCKTRUMP https://t.co/Kd2cm14Z14",offensive
"@SenSchumer That tweet is GOLDEN coming from you @SenSchumer...    What kind of FATHER gets his DAUGHTER'S friend PREGNANT not once but twice &amp; then because of YOU,  that LITTLE GIRL commits suicide?  Yep you're right...WE ARE better than that!    Happy Fathers day #MURDERER https://t.co/t4RdrH5kk8",offensive
@awudrick Guy is such a #douchebag his man card should be revoked,offensive
"@GordonRamsay @Tyson_Fury Gordon Bennet, who would want a selfie with Ramsey #dickhead",offensive
@realDonaldTrump @nytimes @CNN There is only ONE enemy of the state: YOU #LyingTrump #moneylaundering #rapist,offensive
@WalshFreedom @CNBC And you're still a #Douchebag,offensive
"@gaywonk @YouTube Little Carlos is calling for violence, that’s acceptable. Why doesn’t the 90 pound wimp do it himself? He’s so fragile.  #douchebag",offensive
"@realDonaldTrump Our country is divided as it never has been before (humm, wonder who is responsible for that?) and all you Repubs can worry about is a piece of clothe? Why don't you BAN use of Confederate &amp; Nazi flags?     This is ALL distraction.    #DraftDodgerSaysWhat  #TrumpIsATraitor   #ResignNow https://t.co/LPpDH3oXeL",offensive
"#Rangzen people, we have to stop this fake activist troll from ruining our #FreeTibet movement.     #Tibetans #humanrights #BoycottChina #Dharamsala #March10 #Tibetan #DalaiLama #BhoRangzen https://t.co/TzwRcJnBnB",offensive
"#GandiNaaliAbuse | Where an MP says that he will cut the throat of Muslims, then everyone is silent on that: Waris Pathan- MLA, AIMIM & Advocate",offensive
A long fucking time ago! #fucktrump the lying orange idiot https://t.co/zKOrkUmI6j,offensive
"@Believemusic_UK do you know you have invited a rapist, his name is paresh naik,he works in your Mumbai office, check my tweets for his threats.  #ShameOnYou #rapist #meetoo",offensive
"@Acosta There isn't just ONE Enemy of the people, Jim. It takes a village...  #EnemyOfThePeople   #TrumpIsAFraud  #TrumpIsATraitor   #WorstPresidentEver https://t.co/r1wAO4eYAX",offensive
"In other words, “I’m a pathological liar who couldn’t tell the truth if his life(or office or freedom) depended on it.”    #TrumpsWorseThanNixon   #TrumpIsATraitor https://t.co/PNjRkcODGO",offensive
"The hypocrisy. The audacity. The stone-faced liar that is our President. #ProtectLGBTQ #HumanRights #FuckTrump #Pride #NotMyPresident    For Pride Month, Trump has nothing to be proud of, activists say  https://t.co/dNDEpsyVm0",offensive
@realDonaldTrump Will it be worse than killing children? Worse than selling your country to the Russians? Worse than saying you love a ruthless dictator? Probably not. #TrumpIsATraitor https://t.co/u5OcsKbnep,offensive
"...and no condom, judging by the number of kids he has apparently randomly fathered #BorisJohnsonShouldNotBePM #StopBrexit #FinalSay https://t.co/kId7qSKudW",offensive
@RadioFreeTom @MalcolmNance Awesome. KELLYANNE is the leaker. More tweets from George Conway on how #FatNixon is an idiot. #TrumpIsATraitor #TrumpTantrum #TuckFrump #TrumpRussia #TrumpColluded #TrumpResignNow #RepublicansDontCare #Treason #TrumpsWorseThanNixon #TrumpIsATraitor #ReadTheMuellerReport,offensive
"@CillizzaCNN I met Jackie O, and that Slovenian hooker ( @FLOTUS ) is no Jackie O.    @WhiteHouse @realDonaldTrump #MAGA #TrumpIsATraitor #TrumpRussia https://t.co/TwYkfXcyDG",offensive
Racists? Yes. Shocked? No. Yes it leaves me cold but under the Trump regime nothing shocks or surprises me anymore. I truly with my entire being wish it did.   #TrumpIsNotAboveTheLaw #TrumpIsATraitor #CBPRacistAgents 🤬 https://t.co/vLWryl84xx,offensive
Amazing! Now we see why his attorneys didn’t want him speaking to Mueller in person. @realDonaldTrump is far too dumb to stick to a script. He just can’t help himself. #MoronPresident #TrumpIsATraitor https://t.co/X9AWZEo7ag,offensive
And @realDonaldTrump is so WEAK he couldn’t even serve. #TooScaredDonnie Is such a baby that he had to hide behind Daddy’s skirts because he was #TooScaredToServe.   #FUCKtRump https://t.co/PMJtDbrcCh,offensive
India generates so much revenue for the ICC and yet they comply when Pak asks them to degrade their army soldier. India should boycott this world cup to keep the respect of their army!!!    #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeepTheGloves #DhoniKeSaathDesh #Dhoni #CWC19 https://t.co/dSa8ZDSlGm,offensive
"@realDonaldTrump So someone doesn't accept your lies. Suck it up, Bone Spurs, the office of president isn't about you; it's about the integrity, ethics, responsibity, and humanity of the USA.  #WorstPresidentEver  #NoOneIsAboveTheLaw   #TreasonWeasel   #gopcompicit  #TrumpCrimeFamily   #TrumpIsATraitor",offensive
"73 years ago today the worst president the USA has ever had was born. So in celebration, today and going forward. We no longer take 'dump'. Its now 'I need to take a Trump' 💩💩💩  #fucktrump",offensive
@TheRealBS2 @CharlieDaniels The @GOP are traitors. #GOPTraitors #TrumpIsATraitor     https://t.co/YvTo9BYMb3,offensive
"I have no doubt my mental well being has been affected by what my country is turning into. It makes me sick. I had no idea how many stupid, racist evil people live in this country. #fucktrump",offensive
"@realDonaldTrump @HillaryClinton the winner of the popular vote by over 3m. Without your Russian conspiracy, she would have her rightful place in the White House. You are #IlligitimatePresident. You lost. #TrumpIsATraitor #TrumpsAnInternationalDisgrace #TrumpCriminalInvestigations #Trump41",offensive
@svershbow @billmaher  continues to try sooooo hard to remain relevant. #MSM is the only one who cares #LowRatings #LowIQ #DrugAddict #SexFiend #DoucheBag,offensive
@ChrisStewart717 traitor. #Utah can do better. Let’s start with finding candidates that aren’t traitors. #DrainTheSwamp #Election2020 #TrumpIsATraitor https://t.co/7zl5Kds4fx,offensive
#ShameOnICC #CWC19 #INDvPAK  ICC: We are sorry to Tell all The Cricket Fans that there shall not be any cricket to be played on 16th at Manchester due to Rain. But we are looking to Remove Insignia Badges and Other Things which players wear But sorry no Correct Venue https://t.co/xco5rk6WIw,offensive
"If you Chant Jai Shri Ram, you will be arrested.    If you support BJP, you will be killed.    If you make cartoon, you will be arrested.    If you fight for your rights, you will be stoned.    This is not Pakistan but West Bengal.    #SaveTheDoctors  #DoctorsFightBack   #SaveBengal",offensive
"@TheRealOJ32 Get lost, butcher.      #Murderer https://t.co/ZCRKpuue6k",offensive
@GOP At least Warren has a plan and isn't a traitor.  #GOPTraitors  #TrumpIsATraitor https://t.co/9LslPSbVED,offensive
#CrookedTrump circles the# OANN drain https://t.co/OVrUbZUDDp   #TrumpIsATraitor,offensive
"@Shawnglade @LucyLettis Imagine being suckered in by a sociopathic, narcissistic, cheesy game show host and failed businessman. #TrumpForPrison2020   #fucktrump #HappyJohnMcCainDay https://t.co/ivYnbU0Zwm",offensive
@_TheRealOJ32 @LD_Allan I think you are a #murderer,offensive
@realDonaldTrump She's lying like you've trained her to.    #ImpeachTrump   #ImpeachmentInquiryNow   #TrumpIsARacist  #TrumpIsATraitor,offensive
@realDonaldTrump @senatemajldr @MarkWarner SHAME ON YOU #WorstPresidentEver   you &amp; your little crooked  Lying @senatemajldr  are destroying America #NervousDonald  #TrumpCrimeFamily  #TrumpIsATraitor  #mitchmustgo  #DelusionalDonald   must go #JohnMcCainDay  yes it's #JohnMcCainDay  he is an American Hero trump is not!,offensive
@Salon @realDonaldTrump isn't only a gangster but #DelusionalDonald #TrumpIsATraitor #TrumpsAnInternationalDisgrace #TrumpsWorseThanNixon #TrumpIsADisgrace #TrumpIsAFraud #TrumpIsAMoron #TrumpIsTheEnemyOfThePeople #TrumpIsANationalSecurityThreat that's why #TrumpCrimeFamilyMustGo https://t.co/ecp9b3CAeb,offensive
@realDonaldTrump FAKE post from the FAKE/ILLEGITIMATE President!    #TrumpIsATraitor   #TrumpIsADisgrace   #ImpeachTrumpNow,offensive
#TrumpIsATraitor &amp; engaging in criminal activities while the GOP Senate condones it &amp; remain silent! https://t.co/Im7FUcfTdP,offensive
@realDonaldTrump   #realdonaldtrump #fucktrump #trump2020  TODAY'S BATCH OF LIES FROM LYING BAG OF CRAP PREZTER THE MOLESTER    COMING ON TWITTER ANY MINUTE https://t.co/ZxJUPsMbI3,offensive
"Stupid,stupid,stupid #murderer https://t.co/5lXRpWjxpf",offensive
"Hey @realDonaldTrump  @GOP  Your economy is tanking!  Cuz everything u touch...dies  GOP LOL fiscal responsible party? Happy Fathers Day, losers  #gopsucks  #TrumpIsATraitor  #TrumpResignNow  #TrumpLiesMatter  https://t.co/f1wfp94N23",offensive
"Police brutality is what brought @PunjabGovtIndia under @Akali_Dal_ and @BJP4India down and wiped it out from Punjab.  Those who didn't learn, repeated same in Delhi. 😂  Agle election mein karaara jawaab milega. #FuckBJP #FuckDelhiPolice #FuckNDA",offensive
@bringbackjackie @fauxmodoe @ofatlantis_sara @Sully4201 @RadioGunk @ARM34 @fillmorefingers @Nick__Manning @SmokeyMartling @BenjamenXXX @UncleLarry112 @1Rapscallion @eazy_dean @moongoddess422 @mophorex @HowardStern .LOL. I'd pay A LOT of money to see @howardstern all decked out in his Lance Armsrong gear struggling on the side of the road with his pony tail hanging out his stupid bike helmet as he trekked his way to @JackieMartling's house. #DoucheBag,offensive
We need to claim “Love it or leave it” as ours.  Say it to people who support the treason traitor occupying the White House.  #loveitorleaveit #ImpeachmentHearingsNow #TrumpIsATraitor,offensive
#NormPattis is a scumbag attorney.  A mother of 5 is murdered and you act like a pompous arrogant prick. Good job douche your mother must be so proud of u. #fotisdulos GUILTY #DEATHPENALTY #MURDERER,offensive
@SpeakerPelosi @LeaderHoyer @SenSchumer @DNC @DNCWarRoom Let's get this going. Now is the time! #ImpeachTrumpNow #ImpeachmentInquiryNow #ImpeachTrump #ImpeachBarr #ImpeachBarrNow #TrumpIsATraitor #TrumpCrimeFamily #TrumpConcentrationCamps https://t.co/mv5SbUzMU9,offensive
"To all my fellow #Resisters followers and to those still out there, you guys/gals rock my socks off!!    #JohhMcCainDay   #FuckTrump  #ImpeachmentInquiryNow   #TheResistance    https://t.co/MtSD9ye5ng",offensive
@realDonaldTrump @RepAdamSchiff Just more lies from the Putin-installed #LiarInChief   #TrumpRussia   #TrumpIsATraitor,offensive
"#Pakistan's foreign exchange reserves are very low now. The #TerroristNationPakistan to face bankruptcy soon under the leadership of @ImranKhanPTI. Now, this seasoned beggar will again start begging for alms from rich countries. Now no one can save Pakistan from destruction. https://t.co/2imb71rbr6",offensive
"@realDonaldTrump Don look in your own back yard, how many have died in your country due to your pathetic gun laws. #dickhead",offensive
@TheRealOJ32 Awesome! Can you teach me how to murder someone with a knife? #murderer,offensive
@realDonaldTrump hope you have a shitty birthday full of tweets demanding your impeachment. You're a piece of shit!!! #FuckTrump,offensive
MAGAts will be wishing the gobshite happy bday today. This day should be used to celebrate a man with honor not a traitor to our country. June 14th is #HappyJohnMcCainDay plz tweet n keep retweeting these 2#'s #JohnMcCainDay to keep them trending all day #fuckTrump n his bday https://t.co/ecW6eVEQty,offensive
How much would you be willing to pay to see Trump get the shit kicked out of him? #fucktrump,offensive
Watch as #TraitorTrump's face goes from orange to red. #TrumpLiesEveryTimeHeSpeaks #TrumpIsATraitor #CallTheFBI #HappyJohnMcCainDayJune14 https://t.co/T1UhTve4EU,offensive
